beta,Repeat,Seed,n_q,thr,Val_Score,ROC_AUC,PR_AUC,Precision,Recall,F0_5,F1,F2,Specificity,Youden_J,Bal_Acc,MCC,Pred_Pos_Rate,TP,FP,TN,FN
0.6,1,0,29,7,0.6573626010238298,0.5929086043639358,0.6313092509985336,0.5700197238658777,0.8328530259365994,0.608421052631579,0.6768149882903981,0.762532981530343,0.22142857142857142,0.054281597365170686,0.5271407986825853,0.06859647037514054,0.8086124401913876,289,218,62,58
0.6,2,1,29,7,0.6573296055491282,0.5929086043639358,0.6313092509985336,0.5700197238658777,0.8328530259365994,0.608421052631579,0.6768149882903981,0.762532981530343,0.22142857142857142,0.054281597365170686,0.5271407986825853,0.06859647037514054,0.8086124401913876,289,218,62,58
0.7,1,0,29,7,0.6723420370195556,0.5929086043639358,0.6313092509985336,0.5700197238658777,0.8328530259365994,0.608421052631579,0.6768149882903981,0.762532981530343,0.22142857142857142,0.054281597365170686,0.5271407986825853,0.06859647037514054,0.8086124401913876,289,218,62,58
0.7,2,1,29,7,0.6722899433378858,0.5929086043639358,0.6313092509985336,0.5700197238658777,0.8328530259365994,0.608421052631579,0.6768149882903981,0.762532981530343,0.22142857142857142,0.054281597365170686,0.5271407986825853,0.06859647037514054,0.8086124401913876,289,218,62,58
0.8,1,0,25,3,0.6879868028422154,0.6004116920543433,0.6341923419041325,0.5649913344887348,0.9394812680115274,0.6139359698681732,0.7056277056277056,0.8295165394402035,0.10357142857142858,0.043052696582956074,0.521526348291478,0.07900802447157743,0.9202551834130781,326,251,29,21
0.8,2,1,25,3,0.6879589602519878,0.6004116920543433,0.6341923419041325,0.5649913344887348,0.9394812680115274,0.6139359698681732,0.7056277056277056,0.8295165394402035,0.10357142857142858,0.043052696582956074,0.521526348291478,0.07900802447157743,0.9202551834130781,326,251,29,21
0.9,1,0,24,2,0.7079803336378765,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
0.9,2,1,24,2,0.7079868696668704,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
1.0,1,0,24,2,0.7274322417513079,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
1.0,2,1,24,2,0.7274375752129364,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
1.2,1,0,24,2,0.763468183732386,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
1.2,2,1,24,2,0.7634705297729927,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
1.5,1,0,23,1,0.810165994777979,0.6006844380403458,0.635608843353333,0.5530546623794212,0.9913544668587896,0.6067019400352733,0.7100103199174407,0.8557213930348259,0.007142857142857143,-0.0015026759983532978,0.49924866200082335,-0.008399025662363032,0.9920255183413078,344,278,2,3
1.5,2,1,23,1,0.8101676638940937,0.6006844380403458,0.635608843353333,0.5530546623794212,0.9913544668587896,0.6067019400352733,0.7100103199174407,0.8557213930348259,0.007142857142857143,-0.0015026759983532978,0.49924866200082335,-0.008399025662363032,0.9920255183413078,344,278,2,3
2.0,1,0,23,1,0.8678254786361916,0.6006844380403458,0.635608843353333,0.5530546623794212,0.9913544668587896,0.6067019400352733,0.7100103199174407,0.8557213930348259,0.007142857142857143,-0.0015026759983532978,0.49924866200082335,-0.008399025662363032,0.9920255183413078,344,278,2,3
2.0,2,1,23,1,0.8678253404138401,0.6006844380403458,0.635608843353333,0.5530546623794212,0.9913544668587896,0.6067019400352733,0.7100103199174407,0.8557213930348259,0.007142857142857143,-0.0015026759983532978,0.49924866200082335,-0.008399025662363032,0.9920255183413078,344,278,2,3
